,FIPS_code,State,County,"Estimated Rate Per 1,000",state,county,year,% smoke daily
0,1001,Alabama,Autauga County,13.2,Alabama,Autauga County,2012.0,18.41
1,1003,Alabama,Baldwin County,9.3,Alabama,Baldwin County,2012.0,16.02
2,1005,Alabama,Barbour County,16.5,Alabama,Barbour County,2012.0,18.73
3,1007,Alabama,Bibb County,13.7,Alabama,Bibb County,2012.0,22.62
4,1009,Alabama,Blount County,12.6,Alabama,Blount County,2012.0,19.88
5,1011,Alabama,Bullock County,19.6,Alabama,Bullock County,2012.0,18.49
6,1013,Alabama,Butler County,16.0,Alabama,Butler County,2012.0,20.22
7,1015,Alabama,Calhoun County,15.3,Alabama,Calhoun County,2012.0,19.94
8,1017,Alabama,Chambers County,15.3,Alabama,Chambers County,2012.0,20.96
9,1019,Alabama,Cherokee County,11.8,Alabama,Cherokee County,2012.0,19.77
10,1021,Alabama,Chilton County,13.8,Alabama,Chilton County,2012.0,21.08
11,1023,Alabama,Choctaw County,14.2,Alabama,Choctaw County,2012.0,17.62
12,1025,Alabama,Clarke County,17.0,Alabama,Clarke County,2012.0,17.74
13,1027,Alabama,Clay County,13.1,Alabama,Clay County,2012.0,22.55
14,1029,Alabama,Cleburne County,11.6,Alabama,Cleburne County,2012.0,22.84
15,1031,Alabama,Coffee County,13.4,Alabama,Coffee County,2012.0,16.66
16,1033,Alabama,Colbert County,16.2,Alabama,Colbert County,2012.0,18.69
17,1035,Alabama,Conecuh County,17.7,Alabama,Conecuh County,2012.0,19.82
18,1037,Alabama,Coosa County,17.3,Alabama,Coosa County,2012.0,22.47
19,1039,Alabama,Covington County,13.3,Alabama,Covington County,2012.0,21.41
20,1041,Alabama,Crenshaw County,14.2,Alabama,Crenshaw County,2012.0,20.37
21,1043,Alabama,Cullman County,15.3,Alabama,Cullman County,2012.0,20.13
22,1045,Alabama,Dale County,14.5,Alabama,Dale County,2012.0,17.57
23,1047,Alabama,Dallas County,14.1,Alabama,Dallas County,2012.0,18.02
24,1049,Alabama,DeKalb County,11.0,Alabama,DeKalb County,2012.0,20.89
25,1051,Alabama,Elmore County,13.6,Alabama,Elmore County,2012.0,19.18
26,1053,Alabama,Escambia County,17.1,Alabama,Escambia County,2012.0,20.77
27,1055,Alabama,Etowah County,13.7,Alabama,Etowah County,2012.0,20.92
28,1057,Alabama,Fayette County,14.0,Alabama,Fayette County,2012.0,21.0
29,1059,Alabama,Franklin County,12.3,Alabama,Franklin County,2012.0,19.07
30,1061,Alabama,Geneva County,14.8,Alabama,Geneva County,2012.0,20.96
31,1063,Alabama,Greene County,16.8,Alabama,Greene County,2012.0,16.75
32,1065,Alabama,Hale County,13.9,Alabama,Hale County,2012.0,17.6
33,1067,Alabama,Henry County,14.8,Alabama,Henry County,2012.0,17.19
34,1069,Alabama,Houston County,13.1,Alabama,Houston County,2012.0,18.3
35,1071,Alabama,Jackson County,14.6,Alabama,Jackson County,2012.0,22.26
36,1073,Alabama,Jefferson County,11.3,Alabama,Jefferson County,2012.0,15.87
37,1075,Alabama,Lamar County,14.0,Alabama,Lamar County,2012.0,19.99
